Using cpu
Epoch [100/50000], Train Loss: 0.00023725, Test Loss: 0.00051188
Epoch [7300/50000], Train Loss: 0.00010131, Test Loss: 0.00037680
Epoch [7400/50000], Train Loss: 0.00011151, Test Loss: 0.00039812
Epoch [7500/50000], Train Loss: 0.00010172, Test Loss: 0.00040841
Epoch [7600/50000], Train Loss: 0.00010156, Test Loss: 0.00040648
Epoch [7700/50000], Train Loss: 0.00010712, Test Loss: 0.00038382
Epoch [7800/50000], Train Loss: 0.00011579, Test Loss: 0.00044298
Epoch [7900/50000], Train Loss: 0.00012172, Test Loss: 0.00045707
Epoch [8000/50000], Train Loss: 0.00010134, Test Loss: 0.00038776
Epoch [8100/50000], Train Loss: 0.00010011, Test Loss: 0.00041050
Epoch [8200/50000], Train Loss: 0.00012012, Test Loss: 0.00046159
Epoch [8300/50000], Train Loss: 0.00010877, Test Loss: 0.00040478
Epoch [8400/50000], Train Loss: 0.00010677, Test Loss: 0.00042776
Epoch [8500/50000], Train Loss: 0.00010270, Test Loss: 0.00041313
Epoch [8600/50000], Train Loss: 0.00010683, Test Loss: 0.00040661
Epoch [8700/50000], Train Loss: 0.00013694, Test Loss: 0.00042475
Epoch [8800/50000], Train Loss: 0.00010180, Test Loss: 0.00041953
Epoch [8900/50000], Train Loss: 0.00010958, Test Loss: 0.00045749
Epoch [9000/50000], Train Loss: 0.00010707, Test Loss: 0.00041552
Epoch [9100/50000], Train Loss: 0.00010320, Test Loss: 0.00040615
Epoch [9200/50000], Train Loss: 0.00010894, Test Loss: 0.00045611
Epoch [9300/50000], Train Loss: 0.00011075, Test Loss: 0.00044620
Epoch [9400/50000], Train Loss: 0.00010396, Test Loss: 0.00040858
Epoch [9500/50000], Train Loss: 0.00010350, Test Loss: 0.00039380
Epoch [9600/50000], Train Loss: 0.00010281, Test Loss: 0.00042496
Epoch [9700/50000], Train Loss: 0.00011039, Test Loss: 0.00043440
Epoch [9800/50000], Train Loss: 0.00010200, Test Loss: 0.00043577
Epoch [9900/50000], Train Loss: 0.00010417, Test Loss: 0.00044736
Epoch [10000/50000], Train Loss: 0.00010759, Test Loss: 0.00044393
Epoch [10100/50000], Train Loss: 0.00010247, Test Loss: 0.00040288
Epoch [10200/50000], Train Loss: 0.00010806, Test Loss: 0.00045226
Epoch [10300/50000], Train Loss: 0.00011094, Test Loss: 0.00043428
Epoch [10400/50000], Train Loss: 0.00010365, Test Loss: 0.00041032
Epoch [10500/50000], Train Loss: 0.00011021, Test Loss: 0.00042668
Epoch [10600/50000], Train Loss: 0.00010167, Test Loss: 0.00040700
Epoch [10700/50000], Train Loss: 0.00010210, Test Loss: 0.00041664
Epoch [10800/50000], Train Loss: 0.00010158, Test Loss: 0.00041671
Epoch [10900/50000], Train Loss: 0.00010294, Test Loss: 0.00043950
Epoch [11000/50000], Train Loss: 0.00011062, Test Loss: 0.00043997
Epoch [11100/50000], Train Loss: 0.00011918, Test Loss: 0.00046530
Epoch [11200/50000], Train Loss: 0.00013543, Test Loss: 0.00047100
Epoch [11300/50000], Train Loss: 0.00010711, Test Loss: 0.00045262
Epoch [11400/50000], Train Loss: 0.00010786, Test Loss: 0.00042162
Epoch [11500/50000], Train Loss: 0.00010079, Test Loss: 0.00043060
Epoch [11600/50000], Train Loss: 0.00010185, Test Loss: 0.00045459
Epoch [11700/50000], Train Loss: 0.00010056, Test Loss: 0.00040261
Epoch [11800/50000], Train Loss: 0.00010064, Test Loss: 0.00042948
Epoch [11900/50000], Train Loss: 0.00009957, Test Loss: 0.00043376
Epoch [12000/50000], Train Loss: 0.00009945, Test Loss: 0.00042156
Epoch [12100/50000], Train Loss: 0.00010289, Test Loss: 0.00043067
Epoch [12200/50000], Train Loss: 0.00010318, Test Loss: 0.00042856
Epoch [12300/50000], Train Loss: 0.00011379, Test Loss: 0.00048353
Epoch [12400/50000], Train Loss: 0.00010307, Test Loss: 0.00040910
Epoch [12500/50000], Train Loss: 0.00011159, Test Loss: 0.00044605
Epoch [12600/50000], Train Loss: 0.00010915, Test Loss: 0.00045867
Epoch [12700/50000], Train Loss: 0.00010802, Test Loss: 0.00041825
Epoch [12800/50000], Train Loss: 0.00010879, Test Loss: 0.00044487
Epoch [12900/50000], Train Loss: 0.00010014, Test Loss: 0.00041899
Epoch [13000/50000], Train Loss: 0.00010059, Test Loss: 0.00042715
Epoch [13100/50000], Train Loss: 0.00010293, Test Loss: 0.00044556
Epoch [13200/50000], Train Loss: 0.00010165, Test Loss: 0.00042870
Epoch [13300/50000], Train Loss: 0.00010783, Test Loss: 0.00041889
Epoch [13400/50000], Train Loss: 0.00010518, Test Loss: 0.00042456
Epoch [13500/50000], Train Loss: 0.00010361, Test Loss: 0.00045049
Epoch [13600/50000], Train Loss: 0.00010597, Test Loss: 0.00042217
Epoch [13700/50000], Train Loss: 0.00011111, Test Loss: 0.00045429
Epoch [13800/50000], Train Loss: 0.00010443, Test Loss: 0.00044895
Epoch [13900/50000], Train Loss: 0.00010322, Test Loss: 0.00046424
Epoch [14000/50000], Train Loss: 0.00010349, Test Loss: 0.00042509
Epoch [14100/50000], Train Loss: 0.00010208, Test Loss: 0.00042246
Epoch [14200/50000], Train Loss: 0.00010255, Test Loss: 0.00043689
Epoch [14300/50000], Train Loss: 0.00009906, Test Loss: 0.00042519
Epoch [14400/50000], Train Loss: 0.00009919, Test Loss: 0.00041887
Epoch [14500/50000], Train Loss: 0.00012386, Test Loss: 0.00042406
Epoch [14600/50000], Train Loss: 0.00011401, Test Loss: 0.00044720
Epoch [14700/50000], Train Loss: 0.00009985, Test Loss: 0.00043126
Epoch [14800/50000], Train Loss: 0.00010048, Test Loss: 0.00043050
Epoch [14900/50000], Train Loss: 0.00010174, Test Loss: 0.00042998
Epoch [15000/50000], Train Loss: 0.00010355, Test Loss: 0.00045270
Epoch [15100/50000], Train Loss: 0.00010267, Test Loss: 0.00046328
Epoch [15200/50000], Train Loss: 0.00010856, Test Loss: 0.00043101
Epoch [15300/50000], Train Loss: 0.00011085, Test Loss: 0.00044480
Epoch [15400/50000], Train Loss: 0.00010137, Test Loss: 0.00042830
Epoch [15500/50000], Train Loss: 0.00010217, Test Loss: 0.00045948
Epoch [15600/50000], Train Loss: 0.00009993, Test Loss: 0.00044296
Epoch [15700/50000], Train Loss: 0.00010087, Test Loss: 0.00043717
Epoch [15800/50000], Train Loss: 0.00010195, Test Loss: 0.00044541
Epoch [15900/50000], Train Loss: 0.00011307, Test Loss: 0.00042632
Epoch [16000/50000], Train Loss: 0.00010154, Test Loss: 0.00043802
Epoch [16100/50000], Train Loss: 0.00009999, Test Loss: 0.00045368
Epoch [16200/50000], Train Loss: 0.00010544, Test Loss: 0.00046944
Epoch [16300/50000], Train Loss: 0.00010691, Test Loss: 0.00043596
Epoch [16400/50000], Train Loss: 0.00010449, Test Loss: 0.00043183
Epoch [16500/50000], Train Loss: 0.00009955, Test Loss: 0.00042914
Epoch [16600/50000], Train Loss: 0.00012419, Test Loss: 0.00051400
Epoch [16700/50000], Train Loss: 0.00010090, Test Loss: 0.00045849
Epoch [16800/50000], Train Loss: 0.00009947, Test Loss: 0.00045495
Epoch [16900/50000], Train Loss: 0.00009897, Test Loss: 0.00045194
Epoch [17000/50000], Train Loss: 0.00009900, Test Loss: 0.00043674
Epoch [17100/50000], Train Loss: 0.00009885, Test Loss: 0.00043943
Epoch [17200/50000], Train Loss: 0.00010899, Test Loss: 0.00044795
Epoch [17300/50000], Train Loss: 0.00011030, Test Loss: 0.00044954
Epoch [17400/50000], Train Loss: 0.00010077, Test Loss: 0.00044305
Epoch [17500/50000], Train Loss: 0.00010400, Test Loss: 0.00043830
Epoch [17600/50000], Train Loss: 0.00011612, Test Loss: 0.00045210
Epoch [17700/50000], Train Loss: 0.00009980, Test Loss: 0.00044677
Epoch [17800/50000], Train Loss: 0.00011658, Test Loss: 0.00040577
Epoch [17900/50000], Train Loss: 0.00011014, Test Loss: 0.00049750
Epoch [18000/50000], Train Loss: 0.00012015, Test Loss: 0.00043849
Epoch [18100/50000], Train Loss: 0.00010184, Test Loss: 0.00043515
Epoch [18200/50000], Train Loss: 0.00010428, Test Loss: 0.00044323
Epoch [18300/50000], Train Loss: 0.00009875, Test Loss: 0.00043207
Epoch [18400/50000], Train Loss: 0.00010990, Test Loss: 0.00043904
Epoch [18500/50000], Train Loss: 0.00020850, Test Loss: 0.00054058
Epoch [18600/50000], Train Loss: 0.00010256, Test Loss: 0.00043836
Epoch [18700/50000], Train Loss: 0.00010626, Test Loss: 0.00043005
Epoch [18800/50000], Train Loss: 0.00010169, Test Loss: 0.00042527
Epoch [18900/50000], Train Loss: 0.00010296, Test Loss: 0.00044121
Epoch [19000/50000], Train Loss: 0.00010142, Test Loss: 0.00044684
Epoch [19100/50000], Train Loss: 0.00010013, Test Loss: 0.00044167
Epoch [19200/50000], Train Loss: 0.00011248, Test Loss: 0.00047537
Epoch [19300/50000], Train Loss: 0.00009921, Test Loss: 0.00042963
Epoch [19400/50000], Train Loss: 0.00010282, Test Loss: 0.00044534
Epoch [19500/50000], Train Loss: 0.00011099, Test Loss: 0.00047620
Epoch [19600/50000], Train Loss: 0.00011283, Test Loss: 0.00046026
Epoch [19700/50000], Train Loss: 0.00011000, Test Loss: 0.00045771
Epoch [19800/50000], Train Loss: 0.00010111, Test Loss: 0.00043713
Epoch [19900/50000], Train Loss: 0.00010726, Test Loss: 0.00044886
Epoch [20000/50000], Train Loss: 0.00010543, Test Loss: 0.00043227
Epoch [20100/50000], Train Loss: 0.00009916, Test Loss: 0.00047178
Epoch [20200/50000], Train Loss: 0.00014240, Test Loss: 0.00045062
Epoch [20300/50000], Train Loss: 0.00011490, Test Loss: 0.00049786
Epoch [20400/50000], Train Loss: 0.00011233, Test Loss: 0.00044021
Epoch [20500/50000], Train Loss: 0.00009969, Test Loss: 0.00044238
Epoch [20600/50000], Train Loss: 0.00011129, Test Loss: 0.00046573
Epoch [20700/50000], Train Loss: 0.00009952, Test Loss: 0.00046822
Epoch [20800/50000], Train Loss: 0.00010039, Test Loss: 0.00046528
Epoch [20900/50000], Train Loss: 0.00010909, Test Loss: 0.00048063
Epoch [21000/50000], Train Loss: 0.00010035, Test Loss: 0.00044955
Epoch [21100/50000], Train Loss: 0.00010162, Test Loss: 0.00045790
Epoch [21200/50000], Train Loss: 0.00014093, Test Loss: 0.00051279
Epoch [21300/50000], Train Loss: 0.00010088, Test Loss: 0.00046234
Epoch [21400/50000], Train Loss: 0.00010970, Test Loss: 0.00044033
Epoch [21500/50000], Train Loss: 0.00010464, Test Loss: 0.00045158
Epoch [21600/50000], Train Loss: 0.00010113, Test Loss: 0.00045186
Epoch [21700/50000], Train Loss: 0.00010948, Test Loss: 0.00047260
Epoch [21800/50000], Train Loss: 0.00010336, Test Loss: 0.00045929
Epoch [21900/50000], Train Loss: 0.00010926, Test Loss: 0.00045634
Epoch [22000/50000], Train Loss: 0.00010218, Test Loss: 0.00044696
Epoch [22100/50000], Train Loss: 0.00009870, Test Loss: 0.00044382
Epoch [22200/50000], Train Loss: 0.00010214, Test Loss: 0.00043732
Epoch [22300/50000], Train Loss: 0.00010308, Test Loss: 0.00044688
Epoch [22400/50000], Train Loss: 0.00010053, Test Loss: 0.00047152
Epoch [22500/50000], Train Loss: 0.00010041, Test Loss: 0.00045217
Epoch [22600/50000], Train Loss: 0.00010887, Test Loss: 0.00043940
Epoch [22700/50000], Train Loss: 0.00009836, Test Loss: 0.00046203
Epoch [22800/50000], Train Loss: 0.00011759, Test Loss: 0.00050131
Epoch [22900/50000], Train Loss: 0.00009870, Test Loss: 0.00046408
Epoch [23000/50000], Train Loss: 0.00011870, Test Loss: 0.00049543
Epoch [23100/50000], Train Loss: 0.00011137, Test Loss: 0.00050952
Epoch [23200/50000], Train Loss: 0.00010477, Test Loss: 0.00043444
Epoch [23300/50000], Train Loss: 0.00010187, Test Loss: 0.00047825
Epoch [23400/50000], Train Loss: 0.00010017, Test Loss: 0.00045700
Epoch [23500/50000], Train Loss: 0.00011023, Test Loss: 0.00050315
Epoch [23600/50000], Train Loss: 0.00010885, Test Loss: 0.00049344
Epoch [23700/50000], Train Loss: 0.00010570, Test Loss: 0.00044337
Epoch [23800/50000], Train Loss: 0.00010457, Test Loss: 0.00045706
Epoch [23900/50000], Train Loss: 0.00010259, Test Loss: 0.00047067
Epoch [24000/50000], Train Loss: 0.00011107, Test Loss: 0.00045519
Epoch [24100/50000], Train Loss: 0.00011428, Test Loss: 0.00043891
Epoch [24200/50000], Train Loss: 0.00010482, Test Loss: 0.00050239
Epoch [24300/50000], Train Loss: 0.00010005, Test Loss: 0.00045773
Epoch [24400/50000], Train Loss: 0.00010044, Test Loss: 0.00045160
Epoch [24500/50000], Train Loss: 0.00011528, Test Loss: 0.00052421
Epoch [24600/50000], Train Loss: 0.00010338, Test Loss: 0.00048511
Epoch [24700/50000], Train Loss: 0.00010046, Test Loss: 0.00046984
Epoch [24800/50000], Train Loss: 0.00011507, Test Loss: 0.00047932
Epoch [24900/50000], Train Loss: 0.00011384, Test Loss: 0.00044975
Epoch [25000/50000], Train Loss: 0.00010865, Test Loss: 0.00050788
Epoch [25100/50000], Train Loss: 0.00010861, Test Loss: 0.00046011
Epoch [25200/50000], Train Loss: 0.00010645, Test Loss: 0.00049156
Epoch [25300/50000], Train Loss: 0.00011254, Test Loss: 0.00049298
Epoch [25400/50000], Train Loss: 0.00011865, Test Loss: 0.00053415
Epoch [25500/50000], Train Loss: 0.00010085, Test Loss: 0.00044576
Epoch [25600/50000], Train Loss: 0.00010343, Test Loss: 0.00048941
Epoch [25700/50000], Train Loss: 0.00010049, Test Loss: 0.00050480
Epoch [25800/50000], Train Loss: 0.00010211, Test Loss: 0.00043733
Epoch [25900/50000], Train Loss: 0.00010099, Test Loss: 0.00046327
Epoch [26000/50000], Train Loss: 0.00009946, Test Loss: 0.00047472
Epoch [26100/50000], Train Loss: 0.00011274, Test Loss: 0.00047718
Epoch [26200/50000], Train Loss: 0.00011257, Test Loss: 0.00049998
Epoch [26300/50000], Train Loss: 0.00010082, Test Loss: 0.00047214
Epoch [26400/50000], Train Loss: 0.00010434, Test Loss: 0.00050407
Epoch [26500/50000], Train Loss: 0.00012242, Test Loss: 0.00053381
Epoch [26600/50000], Train Loss: 0.00010757, Test Loss: 0.00052442
Epoch [26700/50000], Train Loss: 0.00012302, Test Loss: 0.00046068
Epoch [26800/50000], Train Loss: 0.00010097, Test Loss: 0.00044783
Epoch [26900/50000], Train Loss: 0.00009921, Test Loss: 0.00047677
Epoch [27000/50000], Train Loss: 0.00010944, Test Loss: 0.00050185
Epoch [27100/50000], Train Loss: 0.00010121, Test Loss: 0.00046443
Epoch [27200/50000], Train Loss: 0.00009831, Test Loss: 0.00047598
Epoch [27300/50000], Train Loss: 0.00010242, Test Loss: 0.00048488
Epoch [27400/50000], Train Loss: 0.00010611, Test Loss: 0.00049284
Epoch [27500/50000], Train Loss: 0.00009805, Test Loss: 0.00048140
Epoch [27600/50000], Train Loss: 0.00010033, Test Loss: 0.00047669
Epoch [27700/50000], Train Loss: 0.00011841, Test Loss: 0.00048393
Epoch [27800/50000], Train Loss: 0.00012176, Test Loss: 0.00054718
Epoch [27900/50000], Train Loss: 0.00010075, Test Loss: 0.00046272
Epoch [28000/50000], Train Loss: 0.00010064, Test Loss: 0.00050220
Epoch [28100/50000], Train Loss: 0.00010129, Test Loss: 0.00049558
Epoch [28200/50000], Train Loss: 0.00009842, Test Loss: 0.00048766
Epoch [28300/50000], Train Loss: 0.00010364, Test Loss: 0.00046556
Epoch [28400/50000], Train Loss: 0.00010750, Test Loss: 0.00051517
Epoch [28500/50000], Train Loss: 0.00010444, Test Loss: 0.00049670
Epoch [28600/50000], Train Loss: 0.00010743, Test Loss: 0.00049030
Epoch [28700/50000], Train Loss: 0.00010736, Test Loss: 0.00049644
Epoch [28800/50000], Train Loss: 0.00010175, Test Loss: 0.00048987
Epoch [28900/50000], Train Loss: 0.00011236, Test Loss: 0.00053299
Epoch [29000/50000], Train Loss: 0.00009841, Test Loss: 0.00048435
Epoch [29100/50000], Train Loss: 0.00013111, Test Loss: 0.00053140
Epoch [29200/50000], Train Loss: 0.00010194, Test Loss: 0.00045076
Epoch [29300/50000], Train Loss: 0.00009778, Test Loss: 0.00048118
Epoch [29400/50000], Train Loss: 0.00010105, Test Loss: 0.00046858
Epoch [29500/50000], Train Loss: 0.00010168, Test Loss: 0.00049099
Epoch [29600/50000], Train Loss: 0.00009926, Test Loss: 0.00049724
Epoch [29700/50000], Train Loss: 0.00010258, Test Loss: 0.00050864
Epoch [29800/50000], Train Loss: 0.00010455, Test Loss: 0.00050124
Epoch [29900/50000], Train Loss: 0.00010647, Test Loss: 0.00045948
Epoch [30000/50000], Train Loss: 0.00010302, Test Loss: 0.00051576
Epoch [30100/50000], Train Loss: 0.00012330, Test Loss: 0.00050311
Epoch [30200/50000], Train Loss: 0.00010585, Test Loss: 0.00050933
Epoch [30300/50000], Train Loss: 0.00010170, Test Loss: 0.00047384
Epoch [30400/50000], Train Loss: 0.00009848, Test Loss: 0.00050497
Epoch [30500/50000], Train Loss: 0.00010796, Test Loss: 0.00052304
Epoch [30600/50000], Train Loss: 0.00009789, Test Loss: 0.00047310
Epoch [30700/50000], Train Loss: 0.00011030, Test Loss: 0.00050251
Epoch [30800/50000], Train Loss: 0.00009970, Test Loss: 0.00050555
Epoch [30900/50000], Train Loss: 0.00010065, Test Loss: 0.00048660
Epoch [31000/50000], Train Loss: 0.00011228, Test Loss: 0.00049417
Epoch [31100/50000], Train Loss: 0.00009933, Test Loss: 0.00047052
Epoch [31200/50000], Train Loss: 0.00012205, Test Loss: 0.00048236
Traceback (most recent call last):
  File "/Users/shay/Workplace/Efficient-and-Stable-Methods-for-DL-in-Gradient-Flows/SAV_Regression.py", line 42, in <module>
    for X, Y in train_loader:
                ^^^^^^^^^^^^
  File "/opt/miniconda3/envs/numenv/lib/python3.12/site-packages/torch/utils/data/dataloader.py", line 733, in __next__
    data = self._next_data()
           ^^^^^^^^^^^^^^^^^
  File "/opt/miniconda3/envs/numenv/lib/python3.12/site-packages/torch/utils/data/dataloader.py", line 789, in _next_data
    data = self._dataset_fetcher.fetch(index)  # may raise StopIteration
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/miniconda3/envs/numenv/lib/python3.12/site-packages/torch/utils/data/_utils/fetch.py", line 52, in fetch
    data = [self.dataset[idx] for idx in possibly_batched_index]
            ~~~~~~~~~~~~^^^^^
  File "/opt/miniconda3/envs/numenv/lib/python3.12/site-packages/torch/utils/data/dataset.py", line 207, in __getitem__
    return tuple(tensor[index] for tensor in self.tensors)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/miniconda3/envs/numenv/lib/python3.12/site-packages/torch/utils/data/dataset.py", line 207, in <genexpr>
    return tuple(tensor[index] for tensor in self.tensors)
                 ~~~~~~^^^^^^^
KeyboardInterrupt
